ID,Current Role,Average Salary (USD),Careers Switch,Industry,Favorite Programming Language,Salary Satisfaction,Work/Balance Satisfaction,Coworkers Satisfaction,Management Satisfaction,Upward Mobility Satisfaction,Learning New Things Satisfaction,Difficulty to Break,Most Important Thing,Gender,Age,Country,Level of Education,Ethnicity
613,Data Analyst,20000.0,Yes,Education,Python,0.0,2.0,3.0,2.0,4.0,2.0,Neither easy nor difficult,Compensation and Benefits,Male,23,India,Bachelors,Asian
614,Data Analyst,115500.0,No,Technology and Information Technology,Python,8.0,8.0,9.0,8.0,7.0,7.0,Neither easy nor difficult,Work-Life Balance,Male,33,United States,Masters,White or Caucasian
615,None,20000.0,Yes,Technology and Information Technology,Python,2.0,3.0,3.0,5.0,5.0,9.0,Easy,Work Environment Preferences,Male,26,Nigeria,Bachelors,Black or African American
616,Data Analyst,20000.0,Yes,Professional Services,R,3.0,9.0,8.0,8.0,6.0,6.0,Difficult,Compensation and Benefits,Male,27,India,Bachelors,Asian
617,None,20000.0,No,Agriculture,SQL,0.0,8.0,8.0,8.0,8.0,8.0,Neither easy nor difficult,Compensation and Benefits,Male,22,Uzbekistan,Bachelors,Asian
618,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,3.0,9.0,9.0,6.0,9.0,4.0,Easy,Compensation and Benefits,Male,23,Spain,Masters,White or Caucasian
619,Analyst,20000.0,Yes,Food and Beverage,Python,3.0,6.0,7.0,5.0,4.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,28,Mexico,Bachelors,Hispanic or Latino
620,Data Analyst,53000.0,No,Finance and Banking,SQL,7.0,5.0,4.0,6.0,4.0,5.0,Easy,Work-Life Balance,Female,39,Portugal,Masters,White or Caucasian
621,Manager,115500.0,No,Transportation and Logistics,Python,3.0,2.0,5.0,3.0,3.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,37,United States,Masters,White or Caucasian
622,Database Developer,53000.0,Yes,Education,SQL,4.0,7.0,7.0,7.0,7.0,7.0,Difficult,Compensation and Benefits,Female,29,United States,Masters,White or Caucasian
623,Data Analyst,115500.0,Yes,Finance and Banking,Python,5.0,6.0,6.0,5.0,4.0,3.0,Easy,Work-Life Balance,Male,42,United States,Masters,White or Caucasian
624,None,20000.0,No,Technology and Information Technology,R,0.0,0.0,0.0,0.0,0.0,0.0,Neither easy nor difficult,Work Environment,Female,25,Canada,Bachelors,Asian
625,Database Developer,20000.0,Yes,Telecommunications,Python,5.0,5.0,5.0,5.0,4.0,5.0,Easy,Compensation and Benefits,Male,66,Morocco,High School,Black or African American
626,Data Analyst,137500.0,Yes,Retail and E-commerce,R,8.0,5.0,6.0,6.0,5.0,7.0,Easy,Compensation and Benefits,Male,26,United States,Bachelors,White or Caucasian
627,Data Scientist,20000.0,No,Manufacturing and Industrial,R,4.0,6.0,7.0,7.0,4.0,6.0,Difficult,Compensation and Benefits,Male,21,United States,Bachelors,White or Caucasian
628,None,20000.0,Yes,Technology and Information Technology,Python,1.0,2.0,1.0,2.0,1.0,2.0,Difficult,Compensation and Benefits,Male,26,Oman,Bachelors,Asian
629,Data Engineer,20000.0,No,Technology and Information Technology,Python,6.0,6.0,6.0,6.0,4.0,3.0,Easy,Career Progression,Male,24,Costa Rica,Bachelors,Hispanic or Latino
630,Data Analyst,53000.0,No,Manufacturing and Industrial,Python,8.0,7.0,6.0,7.0,6.0,8.0,Easy,Work Environment Preferences,Male,22,United States,Bachelors,Asian
